Open Source,Country,Yearly Salary in USD
Yes,Switzerland,220298
Yes,United States,78000
No,United States,105000
Yes,United States,67000
No,Spain,68537
Yes,Norway,76641
Yes,United Kingdom,97233
No,United States,180000
No,India,20351
Yes,Canada,96626
No,United States,90000
Yes,United States,105000
No,United States,72000
No,United States,55000
No,Ireland,85671
No,Switzerland,96971
No,United States,54000
No,Portugal,0
No,Italy,30597
No,United States,50000
No,Singapore,56779
No,Germany,73433
No,United Kingdom,111123
No,United States,90000
No,Spain,33045
No,United States,12000
Yes,Germany,67313
Yes,"Iran, Islamic Republic of...",0
Yes,United Kingdom,138904
No,Malta,48955
No,United States,40000
No,India,33337
No,United States,70000
Yes,United States,140000
Yes,United States,95000
No,United States,80000
No,United Kingdom,83342
Yes,United States,91700
No,United States,92250
No,United States,110000
No,Australia,95968
Yes,United States,103000
Yes,United States,103000
Yes,United States,103000
Yes,United States,176000
No,France,29373
No,India,15654
Yes,United States,80000
Yes,India,6575
Yes,United States,58000
Yes,India,0
No,United States,99000
Yes,India,9393
No,Canada,45897
No,Canada,52339
No,United States,86000
No,United States,120000
Yes,Italy,26925
Yes,Australia,47984
No,Australia,94369
Yes,United States,100000
Yes,Panama,184000
No,India,37571
No,Germany,91791
No,United Kingdom,83342
No,India,8140
No,United States,100000
Yes,Germany,67313
Yes,France,51403
Yes,Germany,79552
Yes,United States,120000
No,India,14089
No,India,25047
Yes,Canada,60391
No,United States,96500
No,United States,92000
No,India,203507
Yes,United States,123585
Yes,Canada,56365
No,France,42836
No,Russian Federation,0
No,Canada,60391
No,Romania,43700
No,France,46507
No,United Kingdom,97233
No,India,8219
No,United States,32000
No,United States,75000
No,United States,86788
No,United States,95000
No,United Kingdom,43755
Yes,United Kingdom,104178
No,United States,70000
No,United States,100000
Yes,United States,30000
No,United States,60450
Yes,Norway,89266
Yes,Turkey,34968
No,United Kingdom,48616
No,Other Country (Not Listed Above),65000
No,United Kingdom,54173
No,United States,37440
No,United States,60000
Yes,United Kingdom,51742
No,United States,120000
No,United Kingdom,23614
Yes,Germany,90567
No,United States,40000
No,United Kingdom,41671
No,United Kingdom,65285
Yes,United Kingdom,55562
Yes,United States,90000
No,Germany,61194
No,Germany,48955
Yes,United Kingdom,250027
No,Norway,92454
No,France,53851
Yes,Japan,90039
No,United States,250000
Yes,Austria,91791
No,Canada,57975
Yes,United States,70000
No,United Kingdom,30559
Yes,Australia,139953
Yes,United States,154000
No,India,10175
No,Germany,49322
Yes,United States,123000
No,United Kingdom,104178
Yes,Australia,76774
Yes,France,46507
No,United Kingdom,36115
Yes,Canada,44287
No,Singapore,117342
No,United Kingdom,27781
Yes,Spain,61194
No,Switzerland,104269
Yes,United Kingdom,90288
No,Norway,76514
No,New Zealand,80393
No,Australia,147951
Yes,United States,253390
No,United States,204000
No,United States,80000
No,United States,65000
Yes,India,0
Yes,Norway,70138
Yes,United States,207000
No,United States,90000
No,United States,85000
No,United Kingdom,48616
No,United States,76000
Yes,United States,105000
Yes,Germany,70985
No,United States,60000
Yes,United States,180000
No,Germany,67313
No,Netherlands,91791
Yes,Germany,96686
No,United States,47000
Yes,United States,191000
Yes,India,80511
Yes,United States,180000
No,United Kingdom,33337
Yes,United States,160000
Yes,France,110149
Yes,United Kingdom,66952
Yes,United Kingdom,97233
No,United States,165000
No,United Kingdom,138904
No,Canada,44287
Yes,Germany,67558
Yes,United States,80000
Yes,Germany,48955
Yes,United States,165000
No,Australia,95968
No,United States,87000
No,Sweden,57390
No,United States,65000
No,United Kingdom,23614
Yes,Canada,64417
Yes,United Kingdom,75008
No,Spain,55075
Yes,Netherlands,74657
No,United States,65000
No,United States,66500
Yes,South Africa,63512
Yes,United States,67500
No,Germany,55809
Yes,New Zealand,54813
No,Australia,62379
No,Spain,44060
No,India,25360
Yes,United Kingdom,19447
No,United States,95000
No,United States,110000
Yes,Austria,97910
Yes,Germany,55075
No,Germany,0
No,United States,0
Yes,India,9393
Yes,United States,90000
Yes,Canada,96626
No,France,48955
No,Canada,82132
Yes,United States,105000
Yes,India,2442
No,United States,130000
Yes,United States,35000
Yes,United States,210000
No,India,39136
Yes,Spain,48955
Yes,United Kingdom,76397
Yes,United States,273000
No,United States,62000
No,United States,150000
No,United States,50000
Yes,United States,130000
No,Australia,47984
No,Russian Federation,28306
No,Canada,52339
Yes,United States,115000
No,United States,7000
Yes,Italy,36716
No,United States,135000
No,United States,95000
No,United States,60000
No,India,17220
No,Canada,48313
Yes,United States,90000
No,Spain,30597
No,United States,120000
Yes,United States,40000
No,Germany,61194
No,United Kingdom,97233
No,Ireland,35492
No,United States,123000
No,Italy,85671
No,Canada,15000
Yes,United States,68000
Yes,United States,91000
Yes,New Zealand,17600
No,Italy,17134
No,United States,90000
Yes,United States,51000
No,Australia,83972
No,New Zealand,87701
Yes,Switzerland,83416
Yes,United States,130000
No,United States,65405
Yes,United States,95000
Yes,Canada,84547
No,United States,93500
No,Portugal,39164
No,United States,236000
No,India,41484
No,United States,180000
Yes,United States,165000
Yes,Norway,61211
No,France,45283
No,United States,60000
No,United States,126000
Yes,United States,100000
Yes,United Kingdom,46533
No,Canada,58781
No,United Kingdom,41671
Yes,Italy,40388
Yes,United States,130000
No,United States,95000
No,United States,125000
Yes,Netherlands,0
No,United States,70000
No,United States,165000
Yes,France,73433
Yes,United States,145000
Yes,United Kingdom,50005
No,United States,150000
No,France,36716
No,New Zealand,62122
No,United States,0
Yes,United States,160000
No,United Kingdom,44449
No,Canada,62807
Yes,United States,100000
No,United States,40000
No,Germany,0
No,France,46507
No,Canada,0
No,United Kingdom,50005
No,India,7827
No,Australia,63979
No,Belgium,48955
Yes,United States,120000
Yes,Spain,70985
Yes,United States,100000
Yes,United States,115000
Yes,India,5479
Yes,United States,127000
Yes,United States,83000
No,India,0
No,France,67313
Yes,United Kingdom,69452
Yes,United States,80000
No,Australia,71976
No,United States,97000
No,United Kingdom,166685
No,France,40388
No,United States,84000
Yes,United States,120000
No,United States,145000
Yes,Greece,122
Yes,United States,0
Yes,China,935
No,United States,107000
No,United States,92000
No,United States,180000
No,United States,112000
Yes,United States,100000
No,United States,70000
Yes,Romania,120000
Yes,United Kingdom,125014
No,United States,176000
No,Canada,40261
No,United States,85000
Yes,United Kingdom,30559
No,United States,61000
Yes,United States,73000
Yes,Canada,200000
Yes,France,102806
No,Switzerland,156404
Yes,United States,50000
No,Australia,83172
Yes,Japan,99042
No,United States,98000
Yes,Italy,67313
No,Spain,55075
No,United States,97000
Yes,United Kingdom,58340
No,United States,78000
Yes,New Zealand,76739
Yes,United States,135000
No,New Zealand,32888
No,United States,93000
Yes,United Kingdom,47227
No,United States,154000
Yes,United States,80000
No,India,15654
Yes,India,20664
No,United Kingdom,93760
Yes,Canada,80521
No,United Kingdom,108345
No,France,46507
Yes,United States,20000
Yes,United States,130000
No,India,25047
Yes,United States,150000
No,Australia,175941
Yes,Canada,70000
No,Germany,75880
Yes,India,3757
Yes,France,52627
Yes,United States,162000
No,United States,30000
No,Australia,61580
No,France,30597
Yes,United States,75000
No,United States,60000
No,United States,85000
Yes,United States,250000
No,Canada,46702
No,United States,160000
No,France,39164
Yes,India,5636
No,United Kingdom,122235
No,Canada,41871
No,Germany,62418
Yes,Brazil,37430
No,United States,108000
No,India,39136
No,United States,50000
Yes,Canada,81094
Yes,India,54790
Yes,France,21119
No,United States,82000
No,United States,156000
No,Austria,122388
Yes,France,45283
No,United Kingdom,55562
Yes,United States,115000
No,Canada,41468
No,Canada,56365
Yes,United Kingdom,97233
Yes,Switzerland,104269
Yes,United States,89000
No,United States,60000
No,United States,67000
Yes,United States,120000
Yes,United States,70000
No,Austria,57522
No,Austria,36716
Yes,Mauritius,19582
No,India,10175
Yes,United States,130000
No,United States,90000
Yes,United States,15000
Yes,Germany,58746
Yes,United Kingdom,48616
Yes,India,0
No,United States,43500
No,United States,136000
Yes,France,46507
No,United States,50000
No,United Kingdom,63896
Yes,United States,150000
No,United States,65000
Yes,United Kingdom,116679
Yes,Germany,79552
No,Austria,0
No,Indonesia,6250
Yes,United States,100000
Yes,United States,150000
Yes,United Kingdom,62507
Yes,India,11428
No,United States,130000
No,United Kingdom,27781
Yes,United States,75500
Yes,United States,145000
Yes,"Iran, Islamic Republic of...",120000
Yes,Hong Kong (S.A.R.),0
No,United States,60000
No,Canada,88573
Yes,United Kingdom,83342
No,United States,98600
Yes,United States,104000
No,Germany,63642
Yes,United States,141900
Yes,United States,32000
No,United Kingdom,26558
No,United States,2500
No,United States,73500
Yes,India,8610
Yes,United Kingdom,48200
Yes,United Kingdom,27781
Yes,Greece,0
No,Canada,60391
No,United States,70000
No,United States,105000
Yes,India,10175
No,Malaysia,122388
No,United States,82000
No,Germany,56298
Yes,Mexico,6983
No,United States,116000
Yes,Netherlands,85671
Yes,New Zealand,71976
No,Spain,50179
Yes,United States,123000
No,Italy,40388
No,United States,85000
Yes,United States,125000
No,United Kingdom,100011
Yes,Germany,77104
Yes,United Kingdom,70841
No,United States,38000
No,Australia,31190
No,Germany,67313
Yes,United Kingdom,97233
Yes,United States,107000
Yes,Canada,70456
Yes,India,18942
No,France,61194
No,Spain,42836
Yes,Canada,80521
No,United States,130000
Yes,United Kingdom,41671
No,United States,180000
No,India,16124
No,Germany,80286
Yes,United States,175000
Yes,Monaco,0
Yes,United States,130000
No,United Kingdom,70841
No,"Iran, Islamic Republic of...",4762
Yes,Germany,55075
No,United States,150000
Yes,India,15654
No,Canada,64417
No,United Kingdom,34726
No,United Kingdom,27781
No,United States,50000
No,India,7827
Yes,Canada,80521
No,Spain,22030
No,United States,58000
Yes,United States,92000
Yes,Germany,104030
No,United States,120000
No,United States,50000
No,Italy,18358
No,United States,152000
Yes,United States,134600
Yes,United States,103000
No,United States,105000
No,United States,130000
No,France,0
No,United States,128000
No,Germany,18358
No,Norway,122422
Yes,United States,120000
No,South Africa,37084
No,Canada,60391
No,France,35492
No,Spain,22030
No,United States,119000
No,India,7514
Yes,Germany,127283
Yes,India,36788
No,Australia,50383
No,United States,73000
No,United States,80000
Yes,Germany,58746
No,United States,130000
No,India,37571
Yes,Spain,29373
Yes,Canada,68443
No,United Kingdom,58340
Yes,India,15654
No,United Kingdom,111123
Yes,Netherlands,117492
Yes,United Kingdom,65285
No,United Kingdom,48616
No,United States,90000
No,India,54790
No,United States,30000
Yes,Netherlands,61194
Yes,India,0
No,United States,206000
No,India,21916
No,India,12524
No,France,34269
Yes,Australia,74375
No,France,40388
No,United States,67000
No,India,7044
No,United States,8000
No,Germany,73433
Yes,United States,145000
No,Japan,54023
No,Australia,95968
No,United States,127000
Yes,United Kingdom,131959
No,United States,200000
No,United States,70000
Yes,Australia,71976
No,United States,60000
No,United States,106900
No,United Kingdom,30559
Yes,United States,100000
No,India,5792
Yes,United Kingdom,111123
No,United Kingdom,55562
No,Canada,77300
Yes,Portugal,48955
Yes,Netherlands,63642
Yes,Malta,48955
Yes,"Iran, Islamic Republic of...",0
Yes,United States,60000
Yes,United States,59000
Yes,Australia,99967
No,China,54542
No,United States,95000
No,United States,125000
Yes,United States,47000
Yes,United States,120000
Yes,United States,71000
No,Germany,61194
No,United States,55000
Yes,United Kingdom,48616
Yes,India,10958
No,India,8453
No,France,46507
No,Germany,95462
No,United States,85000
Yes,United States,148000
No,United States,120000
Yes,United States,200000
No,United States,120000
Yes,India,109581
No,Australia,87971
No,United Kingdom,83342
Yes,United States,92000
No,India,31309
No,Canada,96626
Yes,United States,129000
No,Germany,152985
Yes,India,0
No,United States,72000
Yes,India,14089
No,United States,85000
No,United Kingdom,34726
No,United States,72000
Yes,United States,88000
Yes,France,91791
Yes,United States,56000
No,United States,50000
No,Canada,69570
No,Greece,95988
No,United States,160000
No,India,36678
Yes,United Kingdom,97233
No,United States,60000
No,Spain,42836
Yes,Kenya,40000
No,United States,97000
No,Slovenia,0
No,United States,75000
Yes,United Kingdom,56256
No,United Arab Emirates,300000
No,India,8500
Yes,Netherlands,74020
Yes,Estonia,0
No,United States,85000
No,Australia,95968
Yes,United Kingdom,69452
No,Germany,30597
No,Spain,30597
Yes,United States,104000
Yes,United Kingdom,50005
Yes,United States,145000
No,United States,57000
No,United States,109000
Yes,Austria,68537
No,United States,155000
Yes,Greece,23254
Yes,United States,96000
No,India,70445
Yes,United States,80000
No,United Kingdom,31948
Yes,Slovenia,122388
Yes,India,20664
No,United States,82000
Yes,United Kingdom,83342
Yes,Spain,48955
Yes,United States,130000
Yes,United States,140000
Yes,United States,55000
No,United Kingdom,62507
Yes,Australia,149550
No,United States,74000
No,Australia,16794
Yes,United States,80000
Yes,Singapore,60564
No,Spain,26925
No,United States,110000
No,United States,87000
No,United Kingdom,31948
Yes,United Kingdom,41671
Yes,India,7827
Yes,India,62618
No,Ireland,61194
No,India,14089
No,United Kingdom,49418
Yes,United Kingdom,76397
No,Germany,64866
No,United States,106500
Yes,United States,12500
Yes,Netherlands,17134
No,United States,85000
No,Australia,71976
Yes,United Kingdom,90288
No,India,7138
No,India,4696
No,Germany,97910
Yes,Iceland,72000
Yes,France,77104
Yes,United States,110000
Yes,China,46750
Yes,United Kingdom,62507
Yes,United Kingdom,90288
Yes,United States,100000
Yes,United States,61000
No,Switzerland,0
Yes,Australia,79973
Yes,United States,107000
Yes,United States,166000
Yes,United States,115000
No,United States,64000
No,United States,70000
Yes,United States,145000
Yes,United States,120000
Yes,United States,120000
No,Canada,53184
Yes,France,97910
Yes,India,5009
No,United Kingdom,208356
Yes,United States,0
No,United States,95000
Yes,Germany,48955
Yes,Denmark,147929
No,United Kingdom,104178
No,Canada,116756
Yes,Australia,143952
Yes,India,17220
No,Switzerland,85501
No,Germany,104030
No,India,43206
No,United States,88000
No,United Kingdom,48616
No,India,15185
No,Switzerland,151191
No,Colombia,73000
Yes,United Kingdom,90288
No,United Kingdom,56951
No,United States,46000
No,United States,65000
Yes,United Kingdom,53617
Yes,India,58704
No,United States,50000
Yes,United States,89000
No,United States,80000
No,Canada,69651
Yes,United States,165000
Yes,India,7827
Yes,France,68537
Yes,United Kingdom,100011
No,India,17063
No,United Kingdom,43060
No,United States,237300
No,India,313
No,Canada,57975
No,Canada,45897
Yes,India,1503
Yes,United States,70000
No,United Kingdom,31948
Yes,Greece,24478
Yes,United States,100000
No,United States,165000
No,United States,60000
Yes,New Zealand,18271
Yes,Poland,26025
Yes,Other Country (Not Listed Above),96000
Yes,United States,55000
Yes,Germany,214179
No,France,55075
No,Guatemala,50400
No,Belgium,48955
Yes,United States,11300
Yes,Netherlands,82000
No,India,0
Yes,United States,275000
Yes,Australia,91969
No,Spain,31821
No,Spain,22030
No,United States,80000
No,United States,115000
Yes,United Kingdom,73619
No,Germany,48955
No,Nigeria,15000
Yes,India,9393
Yes,Belgium,52627
Yes,United States,62000
No,India,6262
No,United States,62500
No,Spain,0
Yes,India,6810
No,Germany,85671
Yes,Canada,100000
Yes,United Kingdom,58340
Yes,Ireland,79552
No,India,20351
Yes,United States,147000
No,Poland,44111
Yes,United States,0
No,United States,165000
Yes,United States,78000
Yes,Germany,73433
No,Germany,85671
No,United States,80000
No,United Kingdom,47227
No,United States,104300
No,United States,80000
No,United States,90000
Yes,Italy,44060
Yes,United States,108000
No,United States,100000
Yes,United Kingdom,36115
No,United Kingdom,68063
No,Canada,56365
No,United States,20000
No,Germany,63642
Yes,United States,90000
Yes,India,12586
Yes,United States,80000
No,France,53339
No,United States,106000
No,Germany,73433
Yes,United States,250000
No,United States,36000
No,United States,104000
No,United States,52000
No,United Kingdom,11251
Yes,Japan,96341
No,Germany,50179
Yes,United Kingdom,97233
No,United States,100000
No,United States,146000
No,Canada,96626
Yes,United States,600
No,United States,40
No,Canada,43482
No,India,22491
No,Australia,99967
Yes,United States,212000
No,India,13698
Yes,United Kingdom,97233
Yes,Germany,73433
Yes,Germany,45528
Yes,Germany,48955
Yes,India,23482
Yes,Norway,63762
No,United States,84000
Yes,United States,77000
No,United Kingdom,0
Yes,United States,52000
Yes,India,20500
Yes,Canada,95820
Yes,United States,100000
No,Canada,49923
Yes,United States,80000
No,Peru,18000
Yes,Germany,75880
No,United Kingdom,93584
Yes,Australia,55981
No,United States,93000
Yes,United States,100000
No,United States,98500
No,United States,85000
No,United States,85000
No,United Kingdom,34018
No,United States,94000
No,United States,92000
No,Greece,73433
No,United States,170000
Yes,Austria,73433
Yes,United States,148500
No,United States,71400
No,Austria,51608
No,United States,130000
Yes,India,15654
Yes,United States,50000
Yes,United States,120000
Yes,New Zealand,51159
Yes,United States,75000
No,United Kingdom,34726
Yes,United States,140000
Yes,India,54790
No,United States,162000
No,India,3757
Yes,United States,130000
No,Japan,54023
No,Germany,102806
No,United States,65000
Yes,United States,170000
No,United States,139000
Yes,India,7608
Yes,Germany,79552
Yes,United States,165000
No,United States,69900
Yes,United States,75000
No,Ireland,42836
No,United Kingdom,72230
Yes,United States,120000
Yes,United States,134000
No,United States,110000
No,France,55075
No,United States,85000
Yes,United States,113000
Yes,United States,200000
No,United Kingdom,33
No,Italy,34269
Yes,United States,105000
No,United States,53788
Yes,United States,170000
Yes,Germany,73433
Yes,Italy,44060
No,United States,58000
Yes,United Kingdom,83342
No,United States,102000
No,United States,75000
No,United States,100000
No,Japan,78000
No,United States,29000
No,United Kingdom,33337
No,Spain,44060
Yes,India,0
Yes,India,6810
No,United Kingdom,93760
Yes,United States,0
No,Spain,31821
Yes,Canada,56365
No,United States,65000
Yes,United States,63000
Yes,Canada,80521
Yes,India,8453
No,India,3757
Yes,United States,120000
No,United States,53000
Yes,Netherlands,57522
No,United States,110000
No,India,10958
Yes,United States,70000
Yes,India,11271
No,United States,108000
No,Australia,59980
Yes,United States,107000
No,United States,100000
No,Switzerland,109483
No,United States,120000
No,Germany,75606
Yes,Switzerland,10948
Yes,United States,75000
No,Spain,22030
No,Germany,62418
Yes,India,18785
No,Australia,67977
Yes,Canada,72469
Yes,United States,117500
No,Italy,37940
Yes,United Kingdom,55562
No,United Kingdom,56951
Yes,United Kingdom,83342
No,United States,30000
No,United Kingdom,76397
No,Australia,39587
No,United States,75000
No,Greece,73433
Yes,Greece,45283
Yes,United States,171000
No,United States,87000
No,United States,60000
Yes,United Kingdom,76397
No,Greece,14687
Yes,India,7044
Yes,United States,130000
Yes,Greece,13463
Yes,Romania,95000
Yes,United Kingdom,59729
Yes,India,11271
No,United States,73000
Yes,United Kingdom,119058
No,China,62333
No,Germany,52627
No,United States,80000
No,Canada,66027
No,United States,100000
No,Canada,60391
No,United States,125000
Yes,United States,150000
No,United States,130000
No,United States,130000
No,Germany,73433
No,United States,55000
Yes,United States,100000
Yes,United States,120000
No,United States,120000
Yes,United States,140000
Yes,Paraguay,24000
No,United Kingdom,55562
No,United Kingdom,50005
No,United States,162000
No,India,37571
Yes,Switzerland,114696
Yes,United States,60000
No,France,47731
No,United States,90000
Yes,United States,175000
Yes,United States,68000
No,Finland,45283
No,Taiwan,33219
Yes,United States,90000
No,India,15028
No,Germany,58746
No,Austria,56646
No,Brazil,0
Yes,Finland,85671
No,France,2693
No,France,40388
Yes,Brazil,34155
Yes,France,61194
No,United States,42000
Yes,United States,129000
No,Germany,77104
No,United Kingdom,48616
Yes,United Kingdom,22225
Yes,United Kingdom,57645
No,United States,113000
Yes,United States,110000
No,United States,30000
No,India,22214
No,United States,100000
Yes,United States,80000
No,United States,160000
Yes,United Kingdom,45838
No,India,5636
No,Japan,69330
No,United States,87500
No,United States,140000
Yes,United States,89000
Yes,Greece,8200
No,Italy,48955
Yes,Italy,45283
No,United Kingdom,58340
No,United States,73000
No,Canada,56365
No,Finland,68537
Yes,United Kingdom,93760
Yes,United States,80000
No,India,2661
Yes,Germany,0
No,Norway,89266
No,India,31309
No,Slovakia,42591
No,Norway,66950
Yes,Norway,90000
Yes,Italy,40388
No,Cyprus,51403
No,Canada,80521
No,United States,95000
No,United States,47000
Yes,France,48955
Yes,Canada,74885
Yes,United States,80000
No,United States,140000
Yes,United States,180000
Yes,Norway,61211
Yes,United States,110000
Yes,United States,15000
No,United States,86000
Yes,United States,60000
Yes,United Kingdom,69452
No,Canada,68443
No,United States,120000
Yes,France,48955
No,United Kingdom,43060
Yes,Australia,0
Yes,Dominican Republic,22730
No,France,61194
Yes,United States,72000
Yes,India,17220
No,United States,145000
No,United Kingdom,76397
No,United States,81800
No,United States,50000
No,Algeria,5257
No,Norway,57385
Yes,United States,116000
Yes,Canada,56365
No,South Africa,60000
Yes,India,5949
No,United States,60000
No,United Kingdom,41671
No,United States,132000
No,Germany,80776
Yes,Germany,48955
Yes,India,6653
Yes,Zimbabwe,12420
No,United States,37000
No,United States,102000
Yes,India,29743
Yes,Brazil,9732
Yes,United States,95000
Yes,India,1565
No,New Zealand,67968
Yes,Germany,55075
Yes,Sweden,57939
No,Italy,48955
Yes,United States,210000
Yes,Austria,51403
No,Spain,18358
Yes,United States,95000
No,France,48955
No,France,58746
No,Spain,51403
Yes,Norway,53560
Yes,Australia,111963
No,United States,120000
Yes,United States,110000
No,United States,140000
No,United States,118280
No,United States,128550
No,India,9393
No,United States,93000
No,India,18785
No,Spain,34269
Yes,United States,38000
No,Canada,70859
Yes,Ireland,55075
No,United States,65000
Yes,United States,60000
Yes,United States,130000
No,Finland,44060
No,India,17220
No,India,23482
No,United States,85032
Yes,Germany,79552
No,United Kingdom,34726
Yes,India,53225
Yes,Guatemala,32660
No,Norway,51009
No,United States,60000
Yes,United States,100000
No,United Kingdom,48616
Yes,United Kingdom,80564
Yes,Austria,61194
No,United States,76000
No,United States,150000
Yes,Canada,45897
Yes,United States,151000
No,United States,81000
No,Australia,19194
No,Spain,24478
Yes,United States,92700
No,Canada,64417
No,India,7827
No,Belgium,48955
Yes,Netherlands,70495
Yes,France,36716
No,United States,197000
No,Germany,0
No,United Kingdom,45838
Yes,United States,0
Yes,United Arab Emirates,35938
Yes,Japan,65728
Yes,India,28178
Yes,United States,125000
Yes,India,13619
No,China,54542
Yes,United Kingdom,72230
Yes,Taiwan,27118
Yes,United States,128000
No,United States,67000
No,United States,50000
Yes,Norway,9564
Yes,United Kingdom,31253
Yes,United States,116000
No,Canada,45000
Yes,United States,75000
No,France,48955
No,India,3006
Yes,Ireland,42836
Yes,France,46507
No,Poland,70724
No,United States,62500
No,United States,138500
No,Australia,91170
Yes,India,863
Yes,United States,150000
No,United States,300000
Yes,United States,140000
No,United States,116000
Yes,United States,125000
Yes,Sri Lanka,10407
Yes,United Kingdom,37504
No,United States,55000
No,United States,78000
No,United Kingdom,69452
Yes,United States,135000
Yes,United States,40000
Yes,Canada,76495
No,United States,86000
Yes,United States,115000
No,Switzerland,83416
Yes,United States,49920
No,United States,60000
Yes,New Zealand,95010
No,Spain,48955
Yes,Austria,82245
No,United Kingdom,52783
No,United Kingdom,118068
Yes,Germany,65477
Yes,United States,92500
No,Spain,42836
Yes,United Kingdom,93760
Yes,Germany,29373
Yes,United Kingdom,69938
Yes,India,15654
Yes,Germany,48955
No,United Kingdom,111123
No,United States,110000
No,Germany,79552
Yes,United States,125000
Yes,Israel,138092
Yes,United States,40000
No,United Kingdom,72230
Yes,Switzerland,114696
No,United States,73000
No,United States,106000
Yes,India,3757
Yes,United States,150000
Yes,United Kingdom,97233
Yes,United States,140500
Yes,Canada,72469
Yes,United States,115000
No,United Kingdom,30559
No,India,23482
No,Spain,41000
No,United States,126000
Yes,United Kingdom,76397
Yes,Netherlands,88731
No,United States,126000
Yes,Australia,103965
No,France,132000
Yes,United Kingdom,48616
Yes,United States,120000
Yes,United States,110000
Yes,India,9393
Yes,United States,115000
No,Japan,54023
No,United States,120000
No,Italy,34269
No,Germany,82000
Yes,India,38353
Yes,Canada,68443
No,United Arab Emirates,36005
Yes,United States,130000
Yes,United States,34000
Yes,United States,93500
No,Viet Nam,0
Yes,Australia,107964
Yes,Germany,67313
No,United States,42500
No,United States,100500
No,Australia,93569
No,Canada,40261
No,Philippines,48453
Yes,Netherlands,67313
No,United States,62000
Yes,United States,85000
Yes,United States,87000
No,Sri Lanka,0
Yes,India,4383
No,United States,88000
Yes,United States,76553
No,Ireland,97910
No,France,50791
Yes,Germany,97910
No,Australia,59980
Yes,Turkmenistan,12000
Yes,India,5636
Yes,Australia,119960
No,United States,48000
Yes,United Kingdom,125014
No,Poland,38229
No,United Kingdom,76397
No,United Kingdom,28984
Yes,Netherlands,82000
No,Canada,96660
Yes,United States,80000
No,United States,70000
Yes,United States,50000
Yes,Germany,42836
No,Canada,80521
Yes,Netherlands,73433
Yes,United States,75000
No,Belgium,134627
Yes,United States,45000
No,Australia,51983
Yes,United States,145000
Yes,Spain,55075
Yes,United Kingdom,48616
No,United States,62000
Yes,Germany,55075
No,India,2617
No,United States,58000
Yes,United States,137000
No,Canada,52339
Yes,Germany,97910
Yes,United States,50000
No,Germany,48955
No,United States,72000
No,United States,125000
Yes,United States,115000
Yes,Italy,30597
Yes,United States,120000
Yes,France,45283
No,New Zealand,73084
No,United States,40000
No,Russian Federation,48803
No,Spain,40388
Yes,United States,250000
Yes,United States,140000
No,Canada,74080
Yes,United Kingdom,62507
No,Canada,6442
No,United States,95000
Yes,Spain,36716
Yes,United States,125000
Yes,India,39136
No,United States,71500
Yes,United States,117500
No,United States,113000
Yes,Spain,33045
No,United States,90000
Yes,United States,160000
Yes,United States,62000
Yes,India,15654
No,United States,114000
No,Spain,42836
No,Bulgaria,20628
No,Spain,61194
Yes,Netherlands,44060
No,Greece,20806
Yes,United States,150000
No,United States,108000
Yes,Greece,29373
No,Australia,0
No,United States,85000
No,United Kingdom,36810
Yes,India,6262
No,India,39919
No,United States,53000
Yes,United Kingdom,47880
Yes,India,18785
No,United Kingdom,50005
No,United States,78000
Yes,Canada,56365
No,Germany,73433
No,Switzerland,114696
Yes,Spain,26925
Yes,United Kingdom,97233
Yes,India,3131
No,India,3757
No,Finland,66089
No,Romania,46507
No,Netherlands,67313
No,United States,78000
Yes,United States,127000
No,Canada,52339
Yes,Ireland,42836
Yes,United States,180000
No,United States,40000
No,United States,102000
Yes,United Kingdom,76397
No,United Kingdom,113901
No,United Kingdom,62507
No,Germany,58746
No,India,5479
No,United States,57400
Yes,United Kingdom,66674
Yes,India,14559
Yes,Spain,29373
No,United States,135000
Yes,Australia,51983
No,France,46507
Yes,United Kingdom,54895
No,France,70985
No,Finland,61683
No,United States,12000
No,India,40701
No,United States,80000
Yes,United Kingdom,70841
No,India,12680
Yes,United States,160000
Yes,Germany,76492
Yes,Canada,64417
No,France,39164
Yes,United States,90000
No,India,3287
Yes,United States,110000
Yes,Germany,67313
Yes,United States,156000
Yes,Germany,79552
No,United States,93000
No,Canada,49923
Yes,Germany,110149
Yes,Norway,76514
No,Germany,171343
No,United States,79000
No,Spain,31821
No,Canada,72469
No,United States,100000
No,Spain,30597
Yes,Canada,45092
No,Germany,73433
Yes,Germany,88119
No,United Kingdom,213912
Yes,Canada,64417
No,United States,95000
No,Italy,34269
Yes,United States,160000
Yes,Canada,66027
No,United States,155000
Yes,United States,108000
No,India,13917
No,United States,100000
Yes,India,11271
Yes,Canada,60391
No,Germany,73433
Yes,Australia,83172
Yes,United States,87000
No,Italy,18358
No,United Kingdom,76397
No,United States,60000
No,Canada,48313
Yes,United Kingdom,97233
No,United States,84000
No,Germany,70985
No,Switzerland,125123
Yes,United Kingdom,48616
No,United Kingdom,76397
Yes,Germany,59970
Yes,Italy,26925
Yes,Italy,30597
Yes,Norway,91817
Yes,United States,79900
Yes,United Kingdom,97233
No,United States,140000
Yes,Denmark,77416
No,United States,96000
Yes,United States,56000
No,India,148717
No,Hungary,85671
No,India,9393
No,France,36716
No,United States,102000
No,France,48955
No,United States,73000
Yes,United States,130000
No,United States,109075
No,Germany,58746
No,France,56298
Yes,United States,180000
Yes,United States,146000
No,United Kingdom,138904
Yes,Australia,38387
